PO Number,PO Date,Delivery Dt,Vendor,Vendor Name,PO Header text,Site,Site Name,Article,Article Description,HSN/SAC Code.,         Price,    Quantity,    GRN Qty,Pending Qty,     Net Value,Status,Pending Value,Format,Days,Ageing
5500677562,21.08.2025,28.02.2026,32612015,UNIVERSE FACILITY SOLUTION PVT LTD,HOARDING BACKLIT FABRIC BOARD SCAFFOLDING - TN,T0AH,RRL Trends Erode VIP Shopping Centre,,Scaffolding,995457,49528,1,0,1,49528,Full,49528,Trends,280,More than 90 Days
5141101582,08.12.2025,30.06.2026,11100479,S Media Solutions,TRENDS Logo Change TRENDS - TN,T822,"VR Mall, Chennai",310319013,SLBA HEIGHT  18IN N ABOVE /  BELOW 36IN,94056090,1492,37,0,37,55204,Full,55204,Trends,174,More than 90 Days
5141101582,08.12.2025,30.06.2026,11100479,S Media Solutions,TRENDS Logo Change TRENDS - TN,T822,"VR Mall, Chennai",310314032,SIGN 3 MM ACP CLADDING,83100090,238,80,0,80,19040,Full,19040,Trends,174,More than 90 Days
5141995661,23.12.2025,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,Catchments Coupons Pongal <(>&<)> NSO Stores PY,T9BT,RRL Trends Woman Karaikal,310112840,"ART PAPER, 4X2.5IN, 130GSM 4+4 COL",49111010,0.26,5000,0,5000,1300,Full,1300,WIW,159,More than 90 Days
5141995663,23.12.2025,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,Catchments Coupons Pongal <(>&<)> NSO Stores TN,5687,Katpadi Main Road,310112840,"ART PAPER, 4X2.5IN, 130GSM 4+4 COL",49111010,0.26,4000,0,4000,1040,Full,1040,Trends,158,More than 90 Days
5141995663,23.12.2025,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,Catchments Coupons Pongal <(>&<)> NSO Stores TN,T27S,RRL Trends Chennai Sangeetha Kalyana Mah,310112840,"ART PAPER, 4X2.5IN, 130GSM 4+4 COL",49111010,0.26,3000,0,3000,780,Full,780,Trends,158,More than 90 Days
5141995663,23.12.2025,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,Catchments Coupons Pongal <(>&<)> NSO Stores TN,T822,"VR Mall, Chennai",310112840,"ART PAPER, 4X2.5IN, 130GSM 4+4 COL",49111010,0.26,6000,0,6000,1560,Full,1560,Trends,158,More than 90 Days
5141995663,23.12.2025,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,Catchments Coupons Pongal <(>&<)> NSO Stores TN,TWRX,TM Kumbakonam,310112840,"ART PAPER, 4X2.5IN, 130GSM 4+4 COL",49111010,0.26,5000,0,5000,1300,Full,1300,Man,158,More than 90 Days
5500722318,30.12.2025,31.03.2026,32622672,RELIANCE PROLIFIC TRADERS PRIVATE L,Space for advertisements ( JAN 2026 TO 31.03.2026),8318,"RIL Mall, Salem",,Space for advertisements MAR 2026,998366,120000,1,0,1,120000,Full,120000,Trends,145,More than 90 Days
5500722318,30.12.2025,31.03.2026,32622672,RELIANCE PROLIFIC TRADERS PRIVATE L,Space for advertisements ( JAN 2026 TO 31.03.2026),8318,"RIL Mall, Salem",,Space for advertisements FEB 2026,998366,120000,1,0,1,120000,Full,120000,Trends,145,More than 90 Days
5500722318,30.12.2025,31.03.2026,32622672,RELIANCE PROLIFIC TRADERS PRIVATE L,Space for advertisements ( JAN 2026 TO 31.03.2026),8318,"RIL Mall, Salem",,Space for advertisements JAN 2026,998366,120000,1,0,1,120000,Full,120000,Trends,145,More than 90 Days
5146363803,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,T0E9,RRL Trends Man Puducherry,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,2000,0,2000,520,Full,520,Man,140,More than 90 Days
5146363806,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,TY4A,TJ SKLS Galaxy Mall Redhills,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,2000,0,2000,520,Full,520,Junior,140,More than 90 Days
5146363806,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,TY35,TM-MOGAPPAIR,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,4000,0,4000,1040,Full,1040,Junior,140,More than 90 Days
5146363806,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,TY34,TW-MOGAPPAIR,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,4000,0,4000,1040,Full,1040,WIW,140,More than 90 Days
5146363806,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,TM4L,RRL Trends Vandavasi JAI AKASH Tower,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,5000,0,5000,1300,Full,1300,Trends,140,More than 90 Days
5146363806,09.01.2026,30.06.2026,11107060,MUTHU OFFSET PRINTERS,TRENDS JAN - MAR'26 Coupons,TFK9,TW-REDHILLS,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,2000,0,2000,520,Full,520,WIW,140,More than 90 Days
5146363804,09.01.2026,30.06.2026,11107383,M/s. CREATIVE GRAPHIC PRINTS,TRENDS JAN - MAR'26 Coupons,TX41,RRL Trends Coimbatore Thudiyalur,310160362,"130 GSM ART PAPER 4+ 4 COLOUR 5.31""*2.6""",49111010,0.26,7000,0,7000,1820,Full,1820,Trends,140,More than 90 Days
5147908636,21.01.2026,30.06.2026,11105735,Sign Ocean,Additional Visibility (TQ14) - TN,TQ14,Trends Chennai Mudichur,310081560,DOUBLE SIDED NEW BACKLIT FLAG POLES,94056100,7000,2,0,2,14000,Full,14000,Trends,131,More than 90 Days
5145526333,20.01.2026,30.06.2026,11105735,Sign Ocean," Visibility - Padur, Thoraipakkam, Ambattur <(>&<)",TSN8,RRL Trends Chennai Padur,310119636,"SIGN,TOTEM,BL,MS,ACP,D/S,FLX,PRN",94056100,58000,1,0,1,58000,Full,58000,Trends,130,More than 90 Days
5500728274,03.02.2026,31.03.2026,11107060,MUTHU OFFSET PRINTERS,Trends Dec'25 TO Feb'26 Coupon transportations TN,Z455,HO,,Trends Dec'25 TO Feb'26 Coupon transport,996519,80800,1,0,1,80800,Full,80800,HO - Others,101,More than 90 Days
5152548632,23.02.2026,30.06.2026,11105735,Sign Ocean,SS'26 Visual Change Over Prints - TN,T0E9,RRL Trends Man Puducherry,310116596,FL LATEX VINYL SA PRINT (BRANDED),49111010,35.5,21,0,21,745.5,Full,745.5,Man,92,More than 90 Days
5153094183,25.02.2026,30.06.2026,11105735,Sign Ocean,College activation Feb 2026 - TN,TA12,"RIL Mall, Iyyapanthangal",310084932,"MS FRAME 1""X1"" 5KG",83081021,35,64,0,64,2240,Full,2240,Trends,92,More than 90 Days
5153094183,25.02.2026,30.06.2026,11105735,Sign Ocean,College activation Feb 2026 - TN,TA12,"RIL Mall, Iyyapanthangal",310116583,FL ECO SOLV  FLEX BLACK BK PRNT (UNBRD),49111010,25.5,64,0,64,1632,Full,1632,Trends,92,More than 90 Days
5153094183,25.02.2026,30.06.2026,11105735,Sign Ocean,College activation Feb 2026 - TN,TA12,"RIL Mall, Iyyapanthangal",310084932,"MS FRAME 1""X1"" 5KG",83081021,35,32,0,32,1120,Full,1120,Trends,92,More than 90 Days
5153094183,25.02.2026,30.06.2026,11105735,Sign Ocean,College activation Feb 2026 - TN,TA12,"RIL Mall, Iyyapanthangal",310073781,PRINT-ECOSOLVENT-ON 5MM SUNBOARD,49111010,51.5,32,0,32,1648,Full,1648,Trends,92,More than 90 Days
